Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20070730X01061,2007-07-13,2007,Piper,PA-18-150,Airplane,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,2.0,VMC,Go-Around,Non-Fatal,None,Non-Fatal
20070808X01142,2007-07-14,2007,Cessna,182S,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070807X01127,2007-07-14,2007,Cessna,180,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070803X01099,2007-07-14,2007,Cessna,180,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070829X01268,2007-07-14,2007,Boeing,A-75N1,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070731X01066,2007-07-15,2007,Piper,PA-18-150,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20070808X01141,2007-07-15,2007,Cessna,182B,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20070806X01121,2007-07-15,2007,Piper,PA-28-140,Airplane,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Non-Fatal,Medium,Non-Fatal
20071106X01741,2007-07-15,2007,Cessna,172M,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,Non-Fatal,None,Non-Fatal
20070831X01288,2007-07-15,2007,Grumman,G-164B,Airplane,No,1.0,Turbo Prop,Aerial Application,0.0,0.0,1.0,0.0,VMC,Takeoff,Non-Fatal,Low,Non-Fatal
20070829X01267,2007-07-15,2007,Air Tractor,AT-301,Airplane,No,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Non-Fatal,Medium,Non-Fatal
20070828X01257,2007-07-15,2007,Cessna,172S,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
